done,truncated,consecutive_pauses
false,false,0
false,false,0
false,false,0
false,false,0
false,false,0
false,false,0
false,false,0
false,false,0
false,false,0
false,false,0
false,false,0
false,false,0
false,false,0
false,false,0
false,false,0
false,false,0
false,false,0
false,false,0
false,false,0
false,false,0
false,false,0
false,false,0
false,false,0
false,false,0
false,false,0
false,false,0
false,false,0
false,false,0
false,false,0
false,false,0
false,false,0
false,false,0
false,false,0
false,false,0
false,false,0
false,false,0
false,false,0
false,false,0
false,false,0
false,false,0
false,false,0
false,false,0
false,false,0
false,false,0
false,false,0
false,false,0
false,false,0
false,false,0
false,false,0
false,false,0
false,false,0
false,false,0
false,false,0
false,false,0
false,false,0
false,false,0
false,false,0
false,false,0
false,false,0
false,false,0
false,false,0
false,false,0
false,false,0
false,false,0
false,false,0
false,false,0
false,false,0
false,false,0
false,false,0
false,false,0
false,false,0
false,false,0
false,false,0
false,false,0
false,false,0
false,false,0
false,false,0
false,false,0
false,false,0
false,false,0
false,false,0
false,false,0
false,false,0
false,false,0
false,false,0
false,false,0
false,false,0
false,false,0
false,false,0
false,false,0
false,false,0
false,false,0
false,false,0
false,false,0
false,false,0
false,false,0
false,false,0
false,false,0
false,false,0
false,false,0
false,false,0
false,false,0
false,false,0
false,false,0
false,false,0
false,false,0
false,false,0
false,false,0
false,false,0
false,false,0
false,false,0
false,false,0
false,false,0
false,false,0
false,false,0
false,false,0
false,false,0
false,false,0
false,false,0
false,false,0
false,false,0
false,false,0
false,false,0
false,false,0
false,false,0
false,false,0
false,false,0
false,false,0
false,false,0
false,false,0
false,false,0
false,false,0
false,false,0
false,false,0
false,false,0
false,false,0
false,false,0
false,false,0
false,false,0
false,false,0
false,false,0
false,false,0
false,false,0
false,false,0
false,false,0
false,false,0
false,false,0
false,false,0
false,false,0
false,false,0
false,false,0
false,false,0
false,false,0
false,false,0
false,false,0
false,false,0
false,false,0
false,false,0
false,false,0
false,false,0
false,false,0
true,false,0
